Container ID,Commodity,Temperature,Humidity,Timestamp,Vibration,Battery
ATM0001,Avocado,2.37,57.44,2026-07-25 21:27:02.737171,9,81
ATM0002,Avocado,2.59,69.91,2026-07-25 21:27:02.737179,10,88
ATM0003,Avocado,6.38,54.83,2026-07-25 21:27:02.737184,9,88
ATM0004,Avocado,4.75,64.4,2026-07-25 21:27:02.737187,15,90
ATM0005,Avocado,4.6,58.06,2026-07-25 21:27:02.737190,1,98
ATM0006,Avocado,6.01,64.42,2026-07-25 21:27:02.737193,9,83
ATM0007,Avocado,6.04,62.89,2026-07-25 21:27:02.737195,10,95
ATM0008,Avocado,7.26,67.42,2026-07-25 21:27:02.737198,8,97
ATM0009,Avocado,2.41,52.17,2026-07-25 21:27:02.737202,4,84
ATM0010,Avocado,5.23,54.43,2026-07-25 21:27:02.737205,10,94
ATM0011,Avocado,6.68,43.86,2026-07-25 21:27:02.737208,8,98
ATM0012,Avocado,6.28,45.67,2026-07-25 21:27:02.737211,11,80
ATM0013,Avocado,2.2,69.48,2026-07-25 21:27:02.737213,8,96
ATM0014,Avocado,7.72,45.4,2026-07-25 21:27:02.737216,7,94
ATM0015,Avocado,7.38,69.68,2026-07-25 21:27:02.737219,8,92
ATM0016,Avocado,2.31,65.84,2026-07-25 21:27:02.737221,6,97
ATM0017,Avocado,6.42,64.18,2026-07-25 21:27:02.737224,4,83
ATM0018,Avocado,3.37,60.04,2026-07-25 21:27:02.737226,15,98
ATM0019,Avocado,4.3,49.01,2026-07-25 21:27:02.737229,13,81
ATM0020,Avocado,2.03,64.02,2026-07-25 21:27:02.737232,15,81
ATM0021,Avocado,5.3,55.05,2026-07-25 21:27:02.737234,1,94
ATM0022,Avocado,4.08,63.55,2026-07-25 21:27:02.737237,6,94
ATM0023,Avocado,3.21,41.48,2026-07-25 21:27:02.737239,10,95
ATM0024,Avocado,7.71,41.06,2026-07-25 21:27:02.737242,9,92
ATM0025,Avocado,3.94,43.66,2026-07-25 21:27:02.737244,7,92
ATM0026,Avocado,3.31,53.06,2026-07-25 21:27:02.737247,6,81
ATM0027,Avocado,7.41,42.19,2026-07-25 21:27:02.737249,5,91
ATM0028,Avocado,2.38,65.26,2026-07-25 21:27:02.737252,14,97
ATM0029,Avocado,2.01,49.08,2026-07-25 21:27:02.737255,14,83
ATM0030,Avocado,6.75,60.09,2026-07-25 21:27:02.737257,3,91
ATM0031,Avocado,3.79,66.63,2026-07-25 21:27:02.737260,14,89
ATM0032,Avocado,3.84,48.32,2026-07-25 21:27:02.737262,5,87
ATM0033,Avocado,2.19,41.71,2026-07-25 21:27:02.737265,7,96
ATM0034,Avocado,3.81,53.84,2026-07-25 21:27:02.737267,11,96
